sep=;
CRONOGRAMA GERAL DE VALIDAÇÃO — VETBALANCE (PVS-001);;;;;;;;
"Período: S1 a S20 | Duração: 20 semanas";;;;;;;;
;;;;;;;;
=== SEÇÃO 8 — PROCEDIMENTOS DE TESTE ===;;;;;;;;
;;;;;;;;
FASE 1 — PREPARAÇÃO (S1 – S3);;;;;;;;
Semana;Período;Procedimento;Responsável;Entregável;;;
1;S1;Submissão do protocolo ao CEP;Pesquisador;Protocolo aprovado;;;
2;S2;Apresentação do projeto aos docentes;Pesquisador;Ata de reunião;;;
2;S2;Cadastro dos participantes e randomização GE/GC;Pesquisador + Docentes;Lista de alocação selada;;;
3;S3;"Pré-teste diagnóstico (O₁) — ambos os grupos";Docentes;Dados do pré-teste tabulados;;;
;;;;;;;;
FASE 2 — INTERVENÇÃO INICIAL (S3 – S6);;;;;;;;
Semana;Período;Procedimento;Responsável;Entregável;;;
4;S3 – S4;"Aulas teóricas sobre equilíbrio ácido-base — parte 1 (GE + GC)";Docentes;Registro de frequência;;;
5;S5;"Aulas teóricas — parte 2 (GE + GC); início treinamento GE no SUT";Docentes / Pesquisador;"Registro de frequência; logs do tutorial";;;
6;S6;"Treinamento do GE no SUT: tutorial guiado + primeiros casos; uso supervisionado (acidose/alcalose metabólica)";Pesquisador / Alunos GE;"Logs de conclusão do tutorial; relatório de sessões";;;
;;;;;;;;
INTERVALO (S6 – S7);;;;;;;;
—;S6 – S7;Intervalo entre as fases F2 e F3 (sem atividades programadas);—;—;;;
;;;;;;;;
FASE 3 — AVALIAÇÃO INTERMEDIÁRIA 1 (S7 – S10);;;;;;;;
Semana;Período;Procedimento;Responsável;Entregável;;;
7;S7 – S8;"Uso intensivo do SUT pelo GE; atividades tradicionais pelo GC";Alunos / Docentes;Logs do sistema;;;
8;S8 – S9;"Continuação do uso intensivo GE; preparação da avaliação";Alunos / Docentes;Logs do sistema;;;
8–9;S9 – S10;"Avaliação intermediária 1 (O₂) — distúrbios metabólicos";Docentes;Notas tabuladas;;;
9;S10;Análise parcial dos dados no RStudio;Pesquisador;Relatório parcial;;;
;;;;;;;;
FASE 4 — INTERVENÇÃO AVANÇADA (S10 – S13);;;;;;;;
Semana;Período;Procedimento;Responsável;Entregável;;;
10;S10 – S11;"Casos avançados no SUT: cetoacidose diabética, hipercapnia, mistos";Alunos GE;Dados de sessões avançadas;;;
11;S11 – S12;"Aulas avançadas sobre compensação e protocolos terapêuticos (GE + GC)";Docentes;Registro de frequência;;;
12;S12 – S13;"Modo Avaliação do SUT (sem dicas de IA) — simulação de cenário real";Alunos GE;Dados do modo avaliação;;;
;;;;;;;;
FASE 5 — AVALIAÇÃO FINAL E COLETA (S13 – S16);;;;;;;;
Semana;Período;Procedimento;Responsável;Entregável;;;
13;S13 – S14;"Revisão geral no SUT — todos os casos disponíveis";Alunos GE;Dados consolidados;;;
13–14;S14 – S15;"Avaliação intermediária 2 (O₃) — distúrbios respiratórios e mistos";Docentes;Notas tabuladas;;;
14;S15;Questionário de satisfação (SUS adaptado) ao GE;Pesquisador;Respostas tabuladas;;;
14–15;S15 – S16;"Pós-teste final (O₄) — avaliação abrangente (GE + GC)";Docentes;Notas tabuladas;;;
15;S16;Exportação completa dos dados do SUT (CSV/TXT);Pesquisador;Arquivos de dados;;;
;;;;;;;;
FASE 6 — ANÁLISE E RELATÓRIO (S17 – S20);;;;;;;;
Semana;Período;Procedimento;Responsável;Entregável;;;
16;S17;"Processamento estatístico: testes t de Student, Shapiro-Wilk";Pesquisador;Tabelas estatísticas;;;
17;S18;"Análise dados SUT: sessões, win rate, badges, ranking; d de Cohen";Pesquisador;Relatório de uso;;;
18;S19;"Cruzamento: desempenho no software × notas; correlação de Pearson";Pesquisador;Análise cruzada;;;
19;S20;Redação do relatório final de validação;Pesquisador;Rascunho do relatório;;;
20;S20;Entrega do relatório final de validação (IEEE 829);Pesquisador;Documento final;;;
;;;;;;;;
AGOSTO/2026 — MESTRADO;;;;;;;;
—;após S20;Redação da dissertação e defesa do mestrado;Pesquisador;Dissertação + Defesa;;;
;;;;;;;;
;;;;;;;;
=== SEÇÃO 9 — CRONOGRAMA DE EXECUÇÃO (RESUMO) ===;;;;;;;;
;;;;;;;;
Sem.;Data Início;Data Fim;Fase;Atividade;Marco (Milestone);;
1;S1;F1 — Preparação;Submissão do protocolo ao CEP;;;
2;S2;F1 — Preparação;"Apresentação aos docentes; cadastro e randomização";;;
3;S3;F1 — Preparação;Pré-teste diagnóstico (O₁);🔴 O₁;;
4;S3;S4;F2 — Interv. Inicial;Aulas teóricas — parte 1 (GE + GC);;;
5;S5;F2 — Interv. Inicial;"Aulas teóricas — parte 2; início treinamento GE";;;
6;S6;F2 — Interv. Inicial;Treinamento GE no SUT + uso supervisionado;;;
—;S6;S7;—;Intervalo entre F2 e F3;;;
7;S7;S8;F3 — Aval. Interm. 1;"Uso intensivo GE; atividades tradicionais GC";;;
8;S8;S9;F3 — Aval. Interm. 1;Continuação uso intensivo GE;;;
9;S9;S10;F3 — Aval. Interm. 1;"Avaliação intermediária 1 (O₂); análise parcial";🔴 O₂;;
10;S10;S11;F4 — Interv. Avançada;"Casos avançados GE (cetoacidose, hipercapnia, mistos)";;;
